Country,Year,AverageTemperature
Algeria,1787,27.199416666666668
Algeria,1788,31.156833333333335
Algeria,1789,22.421833333333336
Algeria,1790,22.915666666666667
Algeria,1791,23.129583333333333
Algeria,1792,22.90716666666667
Algeria,1793,22.737250000000003
Algeria,1794,22.781750000000002
Algeria,1795,23.539083333333334
Algeria,1796,22.988
Algeria,1797,22.795166666666663
Algeria,1798,23.183166666666665
Algeria,1799,23.230583333333332
Algeria,1800,23.335583333333332
Algeria,1801,23.31866666666667
Algeria,1802,23.479416666666665
Algeria,1803,22.75016666666667
Algeria,1804,23.54525
Algeria,1805,23.043916666666664
Algeria,1806,22.875083333333336
Algeria,1807,22.82541666666667
Algeria,1808,22.140083333333333
Algeria,1809,21.742500000000003
Algeria,1810,21.656583333333334
Algeria,1811,21.881500000000003
Algeria,1812,21.697833333333335
Algeria,1813,22.235916666666668
Algeria,1814,21.921833333333336
Algeria,1815,22.126499999999997
Algeria,1816,21.679666666666666
Algeria,1817,22.32383333333333
Algeria,1818,22.83141666666667
Algeria,1819,22.246583333333334
Algeria,1820,22.389916666666664
Algeria,1821,22.67725
Algeria,1822,22.854250000000004
Algeria,1823,22.461833333333335
Algeria,1824,22.92125
Algeria,1825,22.809583333333336
Algeria,1826,22.73466666666667
Algeria,1827,22.893083333333333
Algeria,1828,22.90025
Algeria,1829,22.67975
Algeria,1830,23.038749999999997
Algeria,1831,22.678083333333333
Algeria,1832,22.49475
Algeria,1833,22.59691666666667
Algeria,1834,22.904583333333335
Algeria,1835,22.084500000000002
Algeria,1836,22.35841666666667
Algeria,1837,22.244500000000002
Algeria,1838,22.602999999999998
Algeria,1839,22.437166666666666
Algeria,1840,22.734583333333333
Algeria,1841,22.58875
Algeria,1842,22.814083333333333
Algeria,1843,22.841083333333334
Algeria,1844,22.591583333333332
Algeria,1845,22.501166666666666
Algeria,1846,23.227333333333334
Algeria,1847,22.68025
Algeria,1848,22.383416666666665
Algeria,1849,22.70425
Algeria,1850,22.587333333333333
Algeria,1851,22.733333333333334
Algeria,1852,22.856583333333333
Algeria,1853,22.770583333333335
Algeria,1854,22.481166666666667
Algeria,1855,22.660083333333333
Algeria,1856,22.58
Algeria,1857,22.37325
Algeria,1858,23.032333333333337
Algeria,1859,22.663833333333333
Algeria,1860,22.49383333333334
Algeria,1861,22.560083333333335
Algeria,1862,22.736500000000003
Algeria,1863,22.441166666666664
Algeria,1864,23.012249999999998
Algeria,1865,22.848833333333335
Algeria,1866,22.925749999999997
Algeria,1867,23.35025
Algeria,1868,22.50691666666667
Algeria,1869,22.775000000000002
Algeria,1870,22.867250000000002
Algeria,1871,22.747666666666664
Algeria,1872,22.795333333333332
Algeria,1873,22.79433333333333
Algeria,1874,22.723249999999997
Algeria,1875,22.554916666666667
Algeria,1876,22.85241666666667
Algeria,1877,22.9615
Algeria,1878,23.54816666666667
Algeria,1879,22.68766666666667
Algeria,1880,22.593999999999998
Algeria,1881,23.46166666666667
Algeria,1882,22.586250000000003
Algeria,1883,22.470916666666668
Algeria,1884,22.081
Algeria,1885,22.20625
Algeria,1886,22.272000000000002
Algeria,1887,22.630416666666665
Algeria,1888,22.509500000000003
Algeria,1889,22.348833333333335
Algeria,1890,21.918083333333332
Algeria,1891,22.246
Algeria,1892,22.860583333333334
Algeria,1893,23.08758333333334
Algeria,1894,22.665166666666668
Algeria,1895,23.513833333333338
Algeria,1896,22.199916666666667
Algeria,1897,23.20658333333333
Algeria,1898,22.82466666666667
Algeria,1899,23.379500000000004
Algeria,1900,22.864166666666666
Algeria,1901,22.726416666666665
Algeria,1902,23.05241666666667
Algeria,1903,22.555666666666667
Algeria,1904,22.682333333333332
Algeria,1905,22.560083333333335
Algeria,1906,22.46858333333333
Algeria,1907,22.171583333333334
Algeria,1908,22.829583333333332
Algeria,1909,22.569833333333335
Algeria,1910,22.676916666666667
Algeria,1911,22.57466666666667
Algeria,1912,22.86675
Algeria,1913,23.079250000000002
Algeria,1914,23.043166666666668
Algeria,1915,22.821166666666667
Algeria,1916,22.643
Algeria,1917,22.461166666666667
Algeria,1918,22.41125
Algeria,1919,22.773333333333337
Algeria,1920,23.094333333333335
Algeria,1921,22.723583333333334
Algeria,1922,22.9345
Algeria,1923,22.43575
Algeria,1924,23.418083333333332
Algeria,1925,22.726583333333334
Algeria,1926,23.50166666666667
Algeria,1927,23.335416666666664
Algeria,1928,23.115416666666665
Algeria,1929,22.672083333333333
Algeria,1930,23.4545
Algeria,1931,23.86583333333333
Algeria,1932,23.61691666666667
Algeria,1933,23.168499999999998
Algeria,1934,22.74466666666667
Algeria,1935,22.919750000000004
Algeria,1936,22.940916666666666
Algeria,1937,23.727500000000003
Algeria,1938,22.727666666666664
Algeria,1939,22.84141666666667
Algeria,1940,23.005916666666668
Algeria,1941,23.443416666666668
